covertype,phase,efgroup
1,regrx,24-26
1,regwf,24-26
1,rx,6
1,wf,6
10,regrx,24-26
10,regwf,24-26
10,rx,6
10,wf,6
100,regrx,15-17
100,regwf,15-17
100,rx,3
100,wf,4
101,regrx,12-14
101,regwf,12-14
101,rx,1
101,wf,1
102,regrx,12-14
102,regwf,12-14
102,rx,1
102,wf,1
103,regrx,12-14
103,regwf,12-14
103,rx,1
103,wf,1
104,regrx,33-35
104,regwf,33-35
104,rx,2
104,wf,2
105,regrx,33-35
105,regwf,33-35
105,rx,2
105,wf,2
106,regrx,33-35
106,regwf,33-35
106,rx,2
106,wf,2
107,regrx,33-35
107,regwf,33-35
107,rx,2
107,wf,2
108,regrx,33-35
108,regwf,33-35
108,rx,2
108,wf,2
109,regrx,33-35
109,regwf,33-35
109,rx,2
109,wf,2
11,regrx,24-26
11,regwf,24-26
11,rx,6
11,wf,6
110,regrx,33-35
110,regwf,33-35
110,rx,2
110,wf,2
111,regrx,33-35
111,regwf,33-35
111,rx,2
111,wf,2
112,regrx,21-23
112,regwf,21-23
112,rx,3
112,wf,4
113,regrx,21-23
113,regwf,21-23
113,rx,3
113,wf,4
114,regrx,21-23
114,regwf,21-23
114,rx,3
114,wf,4
115,regrx,21-23
115,regwf,21-23
115,rx,3
115,wf,4
116,regrx,21-23
116,regwf,21-23
116,rx,3
116,wf,4
117,regrx,21-23
117,regwf,21-23
117,rx,3
117,wf,4
118,regrx,21-23
118,regwf,21-23
118,rx,3
118,wf,4
119,regrx,21-23
119,regwf,21-23
119,rx,3
119,wf,4
12,regrx,24-26
12,regwf,24-26
12,rx,6
12,wf,6
120,regrx,21-23
120,regwf,21-23
120,rx,3
120,wf,4
121,regrx,21-23
121,regwf,21-23
121,rx,3
121,wf,4
122,regrx,21-23
122,regwf,21-23
122,rx,3
122,wf,4
123,regrx,21-23
123,regwf,21-23
123,rx,3
123,wf,4
124,regrx,27-29
124,regwf,27-29
124,rx,3
124,wf,4
125,regrx,21-23
125,regwf,21-23
125,rx,3
125,wf,4
126,regrx,21-23
