efgroup,species,ef
1,"1,2,3-Trimethylbenzene",0.047
1,"1,2,4-Trimethylbenzene",0.071
1,"1,3,5-Trimethylbenzene",0.02
1,1-Butanol,0.063
1,1-Butene,0.131
1,1-Butenylbenzene,0.002
1,1-Decene,0.011
1,1-Ethyl-2-Methylbenzene,0.006
1,"1-Ethyl-3-,4-Methylbenzene",0.021
1,1-Heptene,0.025
1,1-Hexene,0.036
1,1-Methyl-1-Propenylbenzene,0.009
1,1-Methylcyclohexane,0.003
1,1-Methylcyclohexene,0.006
1,1-Methylcyclopentane,0.058
1,1-Methylcyclopentene,0.003
1,1-Methylpyrazole,0.001
1,1-Methylpyrrole,0.002
1,1-Nonene,0.008
1,1-Octene,0.022
1,1-Pentene,0.03
1,1-Propenylbenzene,0.001
1,1-Undecene,0.014
1,1_1-Dimethylhydrazine,0.02
1,1_2-Butadiene,0.001
1,1_2-Butyne,0.01
1,1_2-Dihydronaphthalene,0.004
1,1_3-Butadiene,0.258
1,1_3-Butadiyne,0.001
1,1_3-CyclopentadienePIT,0.028
1,1_3-Dihydronaphthalene,0.005
1,1_3-MethylIndene,0
1,1_4-Diethylbenzene,0.002
1,2-Ethylfuran,0.009
1,2-Ethylpyrazine,0.004
1,2-Furaldehyde,0.067
1,2-Hexanone,0.007
1,2-Methyl-1-Butene,0.019
1,2-Methyl-1-Pentene,0.035
1,2-Methyl-2-Butenal,0.005
1,2-Methyl-2-Butene,0.024
1,2-Methylbutanal,0.026
1,2-Methylfuran,0.007
1,2-Methylpropanal,0.021
1,2-Methylpropene,0.053
1,2-Methylstyrene,0.006
1,2-Pentanone,0.022
1,2-Propenylbenzene,0.004
1,2_2-Dimethylbutane,0
1,2_2-Dimethylpropane,0
1,2_3-Butadione,0.167
1,2_3-Dihydro-1_4-Dioxin,0.002
1,2_5-Dihydrofuran,0.001
1,2_5-Dimethylfuran,0.031
1,3-Carene,0.009
1,3-Furaldehyde,0.013
1,3-Hexanone,0.018
1,3-Methyl-1-Butene,0.014
1,3-Methyl-2-Butanone,0.011
1,3-Methylfuran,0.018
1,3-Methylpentane,0.003
1,3-Methylstyrene,0.01
1,3-Pentanone,0.018
1,4-Methylstyrene,0.005
1,Acetaldehyde,0.641
1,Acetic Acid,1.489
1,Acetone,0.651
1,Acetonitrile,0.032
1,Acrolein,0.323
1,Acrylic Acid,0.029
1,Acrylonitrile,0.054
1,Benzaldehyde,0.168
1,Benzene,0.283
1,Benzenenitrile,0.038
1,Benzofuran,0.083
1,Butenyne,0.002
1,C10H14 non-aromatic,0.002
1,C11 Aromatics,0.084
1,CH4,2.32
1,CO,76
1,CO2,1703
1,Camphene,0.008
1,Crotonaldehyde,0.181
1,Cyclohexene,0.001
1,Cyclopentane,0.002
1,Cyclopentanone,0.087
1,Cyclopentene,0.045
1,Cyclopentenedione,0.007
1,Cyclopentenone,0.004
1,D-Limonene,0.06
1,Divinylacetylene,0.002
1,Ethane,0.288
1,Ethanol,0.012
1,Ethene,1.09
1,Ethyl Formate,0.005
1,Ethyl Xylene_i1,0.006
1,Ethyl Xylene_i2,0.003
1,Ethylbenzene,0.039
1,Ethylstyrene,0.002
1,Ethyne,0.362
1,Ethynyl Benzene,0.004
1,Formaldehyde,1.681
1,FormicAcid,0.116
1,Furan,0.178
1,Glycolaldehyde,0.305
1,Glycolic Acid,0.028
1,Heptadiyne_i1,0.001
1,Heptadiyne_i2,0
1,Hexenes,0.04
1,Hexenyne,0.002
1,Hydrogen Cyanide,0.613
1,Indane,0.004
1,Indene,0.012
1,Isobutylbenzene,0.005
1,Isocyanic Acid,0.09
1,Isoprene,0.14
1,Isopropylbenzene,0.001
1,Methacrolein,0.039
1,Methanol,0.986
1,Methyl Acetate,0.007
1,Methyl Acrylate,0.005
1,Methyl Diazine_i2,0.004
1,Methyl Diazine_i3,0.002
1,Methyl Ethyl Ketone,0.098
1,Methyl Formate,0.014
1,Methyl Propanoate,0.003
1,Methyl Vinyl Ketone,0.058
1,Methyl-n-Propylbenzene,0.005
1,MethylButanoate,0.011
1,MethylCyclopentadiene_i1,0.006
1,MethylCyclopentadiene_i2,0.006
1,MethylDiazine_i1,0.009
1,MethylMethacrylate,0.022
1,Methylbenzofuran,0
1,Methylbenzofuran_i1,0.008
1,Methylbenzofuran_i2,0.014
1,Methylbenzofuran_i3,0.02
1,Monoterpenes,0.253
1,Myrcene,0.002
1,NH3,0.14
1,NMOC,16.046
1,NOx,1.7
1,Naphthalene,0.199
1,Nonadiene,0.002
1,Nonane,0.019
1,Octadiene,0.018
1,Other C6H10,0.003
1,PM10,14.84
1,PM2.5,12.58
1,Pentadieneisomer,0.002
1,Pentenone,0.317
1,Pentenyneisomers,0.002
1,Phenol,0.282
1,Propanal,0.088
1,Propane,0.094
1,Propanenitrile,0.007
1,Propylene,0.426
1,Propyne,0.056
1,Pyrrole,0.006
1,Pyruvic Acid,0.014
1,Resorcinol,1.009
1,SO2,1.06
1,Sesquiterpenes,0.05
1,Styrene,0.04
1,Terpinolene,0.003
1,Tetrahydrofuran,0
1,Toluene,0.199
1,Vinyl Acetate,0
1,alpha-Methylstyrene,0.002
1,alpha-Pinene,0.094
1,beta-Pinene,0.052
1,cis-1_3-Hexadiene,0.001
1,cis-1_3-Pentadiene,0.01
1,cis-2-Butene,0.028
1,cis-2-Hexene,0.013
1,cis-2-Pentene,0.009
1,gamma-Terpinene,0.001
1,i-Butane,0.01
1,i-Pentane,0.028
1,iso-Limonene,0.003
1,"m,p-Xylenes",0.08
1,n-Butanal,0.032
1,n-Butane,0.036
1,n-Butylbenzene,0.008
1,n-Decane,0.019
1,n-Heptane,0.008
1,n-Hexanal,0.023
1,n-Hexane,0.012
1,n-Octane,0.008
1,n-Pentane,0.007
1,n-Propylbenzene,0.005
1,n-Undecane,0.016
1,o-Xylene,0.025
1,p-Cymene,0.002
1,trans-1_3-Hexadiene,0.004
1,trans-1_3-Pentadiene,0.023
1,trans-2-Butene,0.035
1,trans-2-Pentene,0.016
10,CH4,2.21
10,CO,65
10,CO2,1696
10,NH3,1.37
10,NOx,3.53
10,PM10,14.21
10,PM2.5,12.08
10,SO2,0.93
11,CH4,5.4
11,CO,119
11,CO2,1538
11,NH3,1.1
11,NOx,3.53
11,PM10,14.21
11,PM2.5,12.08
11,SO2,0.5
12,CH4,2.67
12,CO,84.19
12,CO2,1651
12,NH3,2.13
12,NOx,2.18
12,PM10,17.39
12,PM2.5,14.78
12,SO2,0.7
13,CH4,2.27
13,CO,76.87
13,CO2,1658
13,NH3,1.74
13,NOx,2.18
13,PM10,17.39
13,PM2.5,14.78
13,SO2,0.77
14,CH4,5.9
14,CO,129.5
14,CO2,1580
14,NH3,3.7
14,NOx,2.18
14,PM10,17.39
14,PM2.5,14.78
14,SO2,0.5
15,CH4,4.12
15,CO,97
15,CO2,1576
15,NH3,0.82
15,NOx,3.34
15,PM10,29.76
15,PM2.5,25.3
15,SO2,0.99
16,CH4,2.41
16,CO,74
16,CO2,1692
16,NH3,0.52
16,NOx,2.43
16,PM10,24.6
16,PM2.5,20.91
16,SO2,1.06
17,CH4,11.36
17,CO,166
