regionname,efgroupname,phase,species,EF,SD,n,citeShort
N,forest,average,CH4,3.03319244277778,1.32516529676538,9.0,"Goode et al., 2000, Hegg et al., 1989, Nance et al. 1993, Simpson et al., 2011, Urbanski et al., 2009"
N,forest,average,CO,92.8836468533333,35.4976755090691,9.0,"Goode et al., 2000, Hegg et al., 1989, Nance et al. 1993, Simpson et al., 2011, Urbanski et al., 2009"
N,forest,average,CO2,1650.87353655556,61.6499948493341,9.0,"Goode et al., 2000, Hegg et al., 1989, Nance et al. 1993, Simpson et al., 2011, Urbanski et al., 2009"
N,forest,average,NH3,0.855,0.425715084690845,4.0,"Goode et al., 2000, Nance et al. 1993"
N,forest,average,NOx,1.275,0.318198051533946,2.0,"Hegg et al., 1989, Nance et al. 1993"
N,forest,average,PM2.5,10.5342128,0.806016526514355,3.0,"Urbanski et al., 2009"
N,forest,average,SO2,0.133333333333333,0.0577350269189626,3.0,"McMeeking et al., 2009"
N,forest,flaming,CH4,2.39978866416667,0.646049265668052,6.0,"Goode et al., 2000, Urbanski et al., 2009"
N,forest,flaming,CO,77.82547028,16.918649245912,6.0,"Goode et al., 2000, Urbanski et al., 2009"
N,forest,flaming,CO2,1682.31030483333,23.3619679131314,6.0,"Goode et al., 2000, Urbanski et al., 2009"
N,forest,flaming,NH3,0.926666666666667,0.49095145720665,3.0,"Goode et al., 2000"
N,forest,smoldering,CH4,4.7,0.0,1.0,"Simpson et al., 2011"
N,forest,smoldering,CO,113.0,0.0,1.0,"Simpson et al., 2011"
N,forest,smoldering,CO2,1616.0,0.0,1.0,"Simpson et al., 2011"
N,grassland,average,CH4,1.695,0.68946839424782,4.0,Urbanski 2009
N,grassland,average,CO,59.2,12.814835153056,4.0,Urbanski 2009
N,grassland,average,CO2,1705.75,40.631473843151,4.0,Urbanski 2009
N,grassland,average,NH3,0.77,0.0,1.0,"Goode et al., 2000"
N,grassland,average,NOx,1.01333333333333,0.26006409466386,3.0,"Gkatzelis et al., 2023"
N,grassland,average,PM2.5,9.875,6.92019990077358,4.0,Urbanski 2009
SE,conifer forest,average,CH4,3.66369342607317,4.44442169238736,41.0,"Akagi et al., 2013, Burling et al., 2011, Strand et al., 2013, Urbanski et al., 2009, Yokelson et al., 1999"
SE,conifer forest,average,CO,87.5129679892593,38.3174953700383,54.0,"Akagi et al., 2013, Aurell et al., 2015, Burling et al., 2011, Mickler et al. 2007, Strand et al., 2013, Urbanski et al., 2009, White, 1987, Yokelson et al., 1999"
