fccs_id,covertype
-1111,404
0,404
1,13
2,131
3,136
4,118
5,118
6,140
7,136
8,135
9,135
10,130
11,130
12,112
13,112
14,153
15,154
16,150
17,114
18,118
19,119
20,145
21,125
22,125
23,125
24,151
25,146
26,144
27,144
28,10
29,113
30,221
32,144
33,209
34,118
36,11
37,144
38,141
39,150
40,223
41,1
42,124
43,148
44,162
45,148
46,161
47,139
48,141
49,166
51,160
52,118
53,10
54,118
55,7
56,186
57,1
58,7
59,113
60,186
61,115
62,164
63,171
65,169
66,1
67,118
69,145
70,113
71,400
72,400
73,400
74,400
75,400
76,400
77,400
78,403
79,404
80,404
81,404
82,403
83,404
84,400
85,109
86,109
87,109
88,109
89,109
90,52
91,104
92,104
93,107
94,108
95,300
97,317
98,310
99,304
100,307
101,104
102,104
103,104
104,104
105,104
106,24
107,63
109,34
110,38
114,63
115,403
120,63
121,63
123,51
124,63
125,51
129,85
131,228
133,281
134,51
135,64
138,30
140,14
142,20
143,16
146,14
147,14
148,14
152,30
154,48
155,24
156,72
157,71
158,71
161,70
162,70
164,65
165,66
166,66
168,74
170,74
173,82
174,98
175,283
176,295
178,71
180,51
181,74
182,67
183,71
184,75
185,75
186,75
187,75
188,65
189,65
190,67
191,67
196,70
203,296
208,121
210,146
211,144
212,144
213,1
214,150
215,141
216,209
217,209
218,209
219,118
220,118
221,1
222,10
223,118
224,124
225,124
226,119
227,119
228,144
229,144
230,146
231,127
232,95
233,7
234,7
235,1
236,223
237,164
238,112
239,136
240,293
241,66
242,66
243,63
260,400
261,404
262,404
263,404
264,47
265,18
266,39
267,26
268,15
269,41
270,25
272,103
273,113
274,41
275,34
276,292
279,16
280,253
281,76
282,70
283,81
284,60
286,126
287,32
288,90
289,101
291,67
301,13
302,171
303,142
304,113
305,128
306,155
307,225
308,201
309,167
310,219
311,210
312,209
313,209
314,116
315,168
316,159
317,214
318,171
319,133
320,120
321,131
322,130
323,124
324,300
325,104
326,311
327,311
328,112
329,311
330,302
331,300
332,106
333,306
334,311
335,312
336,404
337,308
338,315
339,315
340,312
341,317
342,403
343,403
344,404
345,404
346,403
347,403
348,403
349,403
350,106
351,312
352,95
353,244
354,167
355,112
356,109
357,108
358,300
359,317
360,140
361,140
401,403
402,71
403,47
404,56
405,52
406,41
407,52
408,20
409,77
410,63
411,93
412,164
413,43
414,64
415,252
416,64
417,252
418,401
419,47
420,228
421,48
422,228
423,228
424,101
425,92
426,85
427,29
428,296
429,55
430,51
431,83
432,102
433,63
434,47
435,252
436,262
437,404
438,101
439,101
440,101
441,60
442,404
443,268
444,268
445,404
446,404
447,90
448,90
449,62
450,93
451,93
452,85
453,228
454,21
455,30
456,400
457,102
458,403
459,43
460,14
461,47
462,16
463,81
464,81
465,47
466,47
467,34
468,51
469,228
470,228
471,64
472,14
473,48
474,24
475,66
476,66
477,66
478,66
479,98
480,283
481,74
482,296
483,95
484,95
485,293
486,34
487,225
488,164
489,210
490,171
491,171
492,171
493,171
494,171
495,171
496,120
497,302
498,302
499,95
500,95
501,56
502,252
503,252
504,252
505,252
506,1
507,228
508,228
509,228
511,101
512,262
513,404
514,404
516,404
517,404
518,228
519,228
520,102
521,102
522,102
523,102
524,102
525,102
526,102
527,102
528,186
529,1
530,164
531,171
532,171
533,169
534,400
535,300
538,102
540,95
542,146
601,1
602,1
603,1
604,1
605,1
606,1
607,1
608,1
610,201
611,201
612,201
613,201
614,201
615,201
616,201
617,201
618,201
619,201
620,201
621,201
622,201
623,151
624,151
625,151
627,151
628,151
629,151
630,151
631,151
632,151
633,151
634,151
635,151
636,151
637,113
638,113
900,404
911,404
912,404
920,404
921,404
922,404
923,404
924,404
931,404
932,404
933,404
952,404
954,404
958,404
980,404
981,404
982,404
983,404
984,404
1201,404
1202,404
1203,404
