fccs_id,cover_type_id
0,0
1,13
10,130
100,307
101,104
102,104
103,104
104,104
105,104
106,24
107,63
109,34
11,130
110,38
114,63
115,0
12,112
120,63
1201,999
1202,999
1203,999
1205,999
121,63
1223,999
1225,999
123,51
124,63
1241,999
1242,999
1243,999
1244,999
1245,999
1247,999
125,51
1252,999
1260,999
1261,999
1262,999
1271,999
1273,999
1280,999
1281,999
129,85
1290,999
1291,999
1292,999
1293,999
1294,999
1295,999
1296,999
1297,999
1298,999
1299,999
13,112
131,228
133,281
134,51
135,64
138,30
14,153
140,14
142,20
143,16
146,14
147,14
148,14
15,154
152,30
154,48
155,24
156,72
157,71
158,71
16,150
161,70
162,70
164,65
165,66
166,66
168,74
17,114
170,74
173,82
174,98
175,283
176,295
178,71
18,118
180,51
181,74
182,67
183,71
184,75
185,75
186,75
187,75
188,65
189,65
19,119
190,67
191,67
196,70
2,131
20,145
203,296
208,121
21,125
210,146
211,10
212,10
213,1
214,150
215,141
216,209
217,209
218,209
219,118
22,125
220,118
221,1
222,10
223,118
224,124
225,124
226,119
227,119
228,144
229,144
23,125
230,146
231,127
232,95
233,7
234,7
235,1
236,223
237,112
238,112
239,136
24,151
240,293
241,66
242,66
243,49
25,146
26,144
260,0
261,0
262,0
263,0
264,47
265,18
266,39
267,26
268,15
269,41
27,144
270,25
272,103
273,113
274,41
275,34
276,292
279,16
28,10
280,253
281,76
282,70
283,81
284,60
286,126
287,32
288,90
289,101
29,113
291,67
3,136
30,221
301,13
302,171
303,142
304,113
305,128
306,155
307,225
308,201
309,167
310,219
311,210
312,209
313,209
314,116
315,168
316,159
317,214
318,171
319,133
32,144
320,120
321,131
322,130
323,124
324,300
325,104
326,311
327,311
328,112
329,311
33,209
330,302
331,300
332,106
333,306
334,311
335,312
336,999
337,308
338,315
339,315
34,118
36,11
37,144
38,141
39,150
4,118
40,223
401,999
402,71
403,47
404,56
405,52
406,41
407,52
408,20
409,77
41,1
410,63
411,93
412,164
413,43
414,64
415,252
416,64
417,252
418,999
419,47
42,124
420,228
421,48
422,228
423,228
424,101
425,92
426,85
427,29
428,296
429,55
43,148
430,51
431,83
432,102
433,63
434,47
435,252
436,262
437,999
438,101
439,101
44,162
440,101
441,60
442,999
443,268
445,999
448,90
449,62
45,148
450,93
451,93
453,228
454,21
455,30
456,999
457,102
458,999
46,161
47,139
48,141
49,166
5,118
51,160
52,118
53,10
54,118
55,7
56,186
57,1
58,7
59,113
6,140
60,186
61,115
62,8
63,171
65,169
66,1
67,118
69,145
7,136
70,113
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
8,135
80,0
81,0
82,0
83,0
84,0
85,109
86,109
87,109
88,109
89,109
9,135
90,52
91,104
92,104
93,107
94,108
95,300
97,317
98,310
99,304
