fccs_id,urbanski_flame_smold_wf,urbanski_residual,urbanski_duff,urbanski_flame_smold_rx
1,Western forest,CWD residual,Temperate residual,NW Forest,
2,Western forest,CWD residual,Temperate residual,NW Forest,
3,Western forest,CWD residual,Temperate residual,NW Forest,
4,Western forest,CWD residual,Temperate residual,NW Forest,
5,Western forest,CWD residual,Temperate residual,NW Forest,
6,Western forest,CWD residual,Temperate residual,NW Forest,
7,Western forest,CWD residual,Temperate residual,NW Forest,
8,Western forest,CWD residual,Temperate residual,NW Forest,
9,Western forest,CWD residual,Temperate residual,NW Forest,
10,Western forest,CWD residual,Temperate residual,NW Forest,
11,Western forest,CWD residual,Temperate residual,NW Forest,
12,Western forest,CWD residual,Temperate residual,NW Forest,
13,Western forest,CWD residual,Temperate residual,NW Forest,
14,Western forest,CWD residual,Temperate residual,NW Forest,
15,Western forest,CWD residual,Temperate residual,NW Forest,
16,Western forest,CWD residual,Temperate residual,NW Forest,
17,Western forest,CWD residual,Temperate residual,NW Forest,
18,Western forest,CWD residual,Temperate residual,NW Forest,
19,Western forest,CWD residual,Temperate residual,NW Forest,
20,Western forest,CWD residual,Temperate residual,NW Forest,
21,Western forest,CWD residual,Temperate residual,NW Forest,
22,Western forest,CWD residual,Temperate residual,NW Forest,
23,Western forest,CWD residual,Temperate residual,NW Forest,
24,Western forest,CWD residual,Temperate residual,NW Forest,
25,Western forest,CWD residual,Temperate residual,SW Forest,
26,Western forest,CWD residual,Temperate residual,NW Forest,
27,Western forest,CWD residual,Temperate residual,NW Forest,
28,Grass,CWD residual,Temperate residual,Grass,
29,Western forest,CWD residual,Temperate residual,NW Forest,
30,Shrub,CWD residual,Temperate residual,Shrub,
32,Western forest,CWD residual,Temperate residual,NW Forest,
33,Western forest,CWD residual,Temperate residual,SW Forest,
34,Western forest,CWD residual,Temperate residual,SW Forest,
36,Western forest,CWD residual,Temperate residual,SW Forest,
37,Western forest,CWD residual,Temperate residual,NW Forest,
