MapID,Cover Type,Flame/Smold EF,Residual Smoldering,Duff Smoldering
1,SRM 101: Bluebunch Wheatgrass,Grass,CWD residual,Temperate residual
2,SRM 102: Idaho Fescue,Grass,CWD residual,Temperate residual
3,SRM 103: Green Fescue,Grass,CWD residual,Temperate residual
4,SRM 104: Antelope Bitterbrush-Bluebunch Wheatgrass,Grass,CWD residual,Temperate residual
5,SRM 105: Antelope Bitterbrush-Idaho Fescue,Grass,CWD residual,Temperate residual
6,SRM 106: Bluegrass Scabland,Grass,CWD residual,Temperate residual
7,SRM 107: Western Juniper-Big Sagebrush-Bluebunch Wheatgrass,Grass,CWD residual,Temperate residual
8,SRM 108: Alpine Idaho Fescue,Grass,CWD residual,Temperate residual
9,SRM 109: Ponderosa Pine - Shrubland,Grass,CWD residual,Temperate residual
10,SRM 110: Ponderosa Pine - Grassland,Grass,CWD residual,Temperate residual
11,SRM 201: Blue Oak Woodland,Grass,CWD residual,Temperate residual
12,SRM 202: Coast Live Oak Woodland,Grass,CWD residual,Temperate residual
13,SRM 203: Riparian Woodland,Western forest,CWD residual,Temperate residual
14,SAF 1: Jack Pine,Boreal forest,CWD residual,Boreal residual
15,SAF 5: Balsam Fir,Boreal forest,CWD residual,Boreal residual
16,SAF 12: Black Spruce,Boreal forest,CWD residual,Boreal residual
17,SAF 13: Black Spruce-Tamarack,Boreal forest,CWD residual,Boreal residual
18,SAF 107: White Spruce,Boreal forest,CWD residual,Boreal residual
19,SAF 38: Tamarack,Boreal forest,CWD residual,Boreal residual
20,SAF 16: Aspen ,Boreal forest,CWD residual,Boreal residual
21,SAF 17: Pin Cherry,Western forest,CWD residual,Boreal residual
22,SAF 18: Paper Birch,Boreal forest,CWD residual,Boreal residual
23,SAF 32: Red Spruce,Boreal forest,CWD residual,Boreal residual
24,SAF 33: Red Spruce-Balsam Fir,Boreal forest,CWD residual,Boreal residual
25,SAF 34: Red Spruce-Fraser Fir,Boreal forest,CWD residual,Boreal residual
26,SAF 30: Red Spruce-Yellow Birch,Boreal forest,CWD residual,Boreal residual
27,SAF 31: Red Spruce-Sugar Maple-Beech,Boreal forest,CWD residual,Boreal residual
28,SAF 35: Paper Birch-Red Spruce-Balsam Fir,Boreal forest,CWD residual,Boreal residual
29,SAF 37: Northern White Cedar,Boreal forest,CWD residual,Boreal residual
30,SAF 15: Red Pine,Boreal forest,CWD residual,Boreal residual
31,SAF 21: Eastern White Pine,Western forest,CWD residual,Temperate residual
32,SAF 22: White Pine-Hemlock,Western forest,CWD residual,Temperate residual
33,SAF 23: Eastern Hemlock,Western forest,CWD residual,Temperate residual
34,SAF 20: White Pine-Northern Red Oak-Red Maple,Western forest,CWD residual,Temperate residual
