MapID,Cover type,WF EF Assignment,RxBurn EF Assignment
1,SRM 101: Bluebunch Wheatgrass,6: Grassland,6: Grassland
2,SRM 102: Idaho Fescue,6: Grassland,6: Grassland
3,SRM 103: Green Fescue,6: Grassland,6: Grassland
4,SRM 104: Antelope Bitterbrush-Bluebunch Wheatgrass,6: Grassland,6: Grassland
5,SRM 105: Antelope Bitterbrush-Idaho Fescue,6: Grassland,6: Grassland
6,SRM 106: Bluegrass Scabland,6: Grassland,6: Grassland
7,SRM 107: Western Juniper-Big Sagebrush-Bluebunch Wheatgrass,5: Shrubland,5: Shrubland
8,SRM 108: Alpine Idaho Fescue,6: Grassland,6: Grassland
9,SRM 109: Ponderosa Pine - Shrubland,5: Shrubland,5: Shrubland
10,SRM 110: Ponderosa Pine - Grassland,6: Grassland,6: Grassland
11,SRM 201: Blue Oak Woodland,6: Grassland,6: Grassland
12,SRM 202: Coast Live Oak Woodland,6: Grassland,6: Grassland
13,SRM 203: Riparian Woodland,4: Western forest WF,3: Western forest Rx
14,SAF 1: Jack Pine,2: Boreal forest,2: Boreal forest
15,SAF 5: Balsam Fir,2: Boreal forest,2: Boreal forest
16,SAF 12: Black Spruce,2: Boreal forest,2: Boreal forest
17,SAF 13: Black Spruce-Tamarack,2: Boreal forest,2: Boreal forest
18,SAF 107: White Spruce,2: Boreal forest,2: Boreal forest
19,SAF 38: Tamarack,2: Boreal forest,2: Boreal forest
20,SAF 16: Aspen (Eastern),2: Boreal forest,2: Boreal forest
21,SAF 17: Pin Cherry,4: Western forest WF,3: Western forest Rx
22,SAF 18: Paper Birch,2: Boreal forest,2: Boreal forest
23,SAF 32: Red Spruce,2: Boreal forest,2: Boreal forest
24,SAF 33: Red Spruce-Balsam Fir,2: Boreal forest,2: Boreal forest
25,SAF 34: Red Spruce-Fraser Fir,2: Boreal forest,2: Boreal forest
26,SAF 30: Red Spruce-Yellow Birch,2: Boreal forest,2: Boreal forest
27,SAF 31: Red Spruce-Sugar Maple-Beech,2: Boreal forest,2: Boreal forest
28,SAF 35: Paper Birch-Red Spruce-Balsam Fir,2: Boreal forest,2: Boreal forest
29,SAF 37: Northern White Cedar,2: Boreal forest,2: Boreal forest
30,SAF 15: Red Pine,2: Boreal forest,2: Boreal forest
31,SAF 21: Eastern White Pine,4: Western forest WF,3: Western forest Rx
32,SAF 22: White Pine-Hemlock,4: Western forest WF,3: Western forest Rx
33,SAF 23: Eastern Hemlock,4: Western forest WF,3: Western forest Rx
34,SAF 20: White Pine-Northern Red Oak-Red Maple,4: Western forest WF,3: Western forest Rx
35,SAF 51: White Pine-Chestnut Oak,4: Western forest WF,3: Western forest Rx
36,SAF 24: Hemlock-Yellow Birch,4: Western forest WF,3: Western forest Rx
37,SAF 27: Sugar Maple,4: Western forest WF,3: Western forest Rx
38,SAF 25: Sugar Maple-Beech-Yellow Birch,4: Western forest WF,3: Western forest Rx
39,SAF 26: Sugar Maple-Basswood,4: Western forest WF,3: Western forest Rx
40,SAF 28: Black Cherry-Maple,4: Western forest WF,3: Western forest Rx
41,SAF 60: Beech-Sugar Maple,4: Western forest WF,3: Western forest Rx
42,SAF 108: Red Maple,4: Western forest WF,3: Western forest Rx
43,SAF 14: Northern Pin Oak,4: Western forest WF,3: Western forest Rx
44,SAF 19: Gray Birch-Red Maple,4: Western forest WF,3: Western forest Rx
45,SAF 39: Black Ash-American Elm-Red Maple,4: Western forest WF,3: Western forest Rx
46,SAF 109: Hawthorn,4: Western forest WF,3: Western forest Rx
47,SAF 40: Post Oak-Blackjack Oak,4: Western forest WF,3: Western forest Rx
48,SAF 42: Bur Oak (Eastern),4: Western forest WF,3: Western forest Rx
49,SAF 43: Bear Oak,5: Shrubland,5: Shrubland
50,SAF 44: Chestnut Oak,4: Western forest WF,3: Western forest Rx
51,SAF 52: White Oak-Black Oak-Northern Red Oak,4: Western forest WF,3: Western forest Rx
52,SAF 53: White Oak,4: Western forest WF,3: Western forest Rx
53,SAF 110: Black Oak,4: Western forest WF,3: Western forest Rx
54,SAF 55: Northern Red Oak,4: Western forest WF,3: Western forest Rx
55,SAF 50: Black Locust,4: Western forest WF,3: Western forest Rx
56,SAF 57: Yellow-Poplar,4: Western forest WF,3: Western forest Rx
57,SAF 58: Yellow-Poplar-Eastern Hemlock,4: Western forest WF,3: Western forest Rx
58,SAF 59: Yellow-Poplar-White Oak-Northern Red Oak,4: Western forest WF,3: Western forest Rx
59,SAF 61: River Birch-Sycamore,4: Western forest WF,3: Western forest Rx
60,SAF 62: Silver Maple-American Elm,4: Western forest WF,3: Western forest Rx
61,SAF 64: Sassafras-Persimmon,4: Western forest WF,3: Western forest Rx
62,SAF 65: Pin Oak-Sweetgum,4: Western forest WF,3: Western forest Rx
63,SAF 45: Pitch Pine,1: SE forest,1: SE forest
64,SAF 46: Eastern Redcedar,4: Western forest WF,3: Western forest Rx
65,SAF 69: Sand Pine,1: SE forest,1: SE forest
66,SAF 70: Longleaf Pine,1: SE forest,1: SE forest
67,SAF 83: Longleaf Pine-Slash Pine,1: SE forest,1: SE forest
68,SAF 75: Shortleaf Pine,1: SE forest,1: SE forest
69,SAF 79: Virginia Pine,1: SE forest,1: SE forest
70,SAF 81: Loblolly Pine,1: SE forest,1: SE forest
71,SAF 80: Loblolly Pine-Shortleaf Pine,1: SE forest,1: SE forest
72,SAF 84: Slash Pine,1: SE forest,1: SE forest
73,SAF 111: South Florida Slash Pine,1: SE forest,1: SE forest
74,SAF 98: Pond Pine,1: SE forest,1: SE forest
75,SAF 71: Longleaf Pine-Scrub Oak,1: SE forest,1: SE forest
76,SAF 76: Shortleaf Pine-Oak,1: SE forest,1: SE forest
77,SAF 78: Virginia Pine-Oak,1: SE forest,1: SE forest
78,SAF 82: Loblolly Pine-Hardwood,1: SE forest,1: SE forest
79,SAF 85: Slash Pine-Hardwood,1: SE forest,1: SE forest
80,SAF 63: Cottonwood,4: Western forest WF,3: Western forest Rx
81,SAF 88: Willow Oak-Water Oak-Diamondleaf Oak,4: Western forest WF,3: Western forest Rx
82,SAF 89: Live Oak,4: Western forest WF,3: Western forest Rx
83,SAF 91: Swamp Chestnut Oak-Cherrybark oak,4: Western forest WF,3: Western forest Rx
84,SAF 92: Sweetgum-Willow Oak,4: Western forest WF,3: Western forest Rx
85,SAF 93: Sugarberry-American Elm-Green Ash,4: Western forest WF,3: Western forest Rx
86,SAF 94: Sycamore-Sweetgum-American Elm,4: Western forest WF,3: Western forest Rx
87,SAF 95: Black Willow,4: Western forest WF,3: Western forest Rx
88,SAF 96: Overcup Oak-Water Hickory,4: Western forest WF,3: Western forest Rx
89,SAF 101: Baldcypress,1: SE forest,1: SE forest
90,SAF 102: Baldcypress-Tupelo,1: SE forest,1: SE forest
91,SAF 103: Water Tupelo-Swamp Tupelo,1: SE forest,1: SE forest
92,SAF 104: Sweetbay-Swamp Tupelo-Redbay,1: SE forest,1: SE forest
93,SAF 66: Ashe Juniper-Redberry (Pinchot) Juniper,4: Western forest WF,3: Western forest Rx
94,SAF 67: Mohr's ,4: Western forest WF,3: Western forest Rx
95,SAF 68: Mesquite,4: Western forest WF,3: Western forest Rx
96,SAF 72: Southern Scrub Oak,1: SE forest,1: SE forest
97,SAF 73: Southern Redcedar,1: SE forest,1: SE forest
98,SAF 74: Cabbage Palmetto,1: SE forest,1: SE forest
99,SAF 87: Sweetgum-Yellow-Poplar,4: Western forest WF,3: Western forest Rx
100,SAF 97: Atlantic White-Cedar,4: Western forest WF,3: Western forest Rx
101,SAF 100: Pondcypress,1: SE forest,1: SE forest
102,SAF 105: Tropical Hardwoods (Florida),1: SE forest,1: SE forest
103,SAF 106: Mangrove,1: SE forest,1: SE forest
104,SAF 201: White Spruce,2: Boreal forest,2: Boreal forest
105,SAF 251: White Spruce-Aspen,2: Boreal forest,2: Boreal forest
106,SAF 202: White Spruce-Paper Birch,2: Boreal forest,2: Boreal forest
107,SAF 252: Paper Birch,2: Boreal forest,2: Boreal forest
108,SAF 203: Balsam Poplar,2: Boreal forest,2: Boreal forest
109,SAF 204: Black Spruce,2: Boreal forest,2: Boreal forest
110,SAF 253: Black Spruce-White Spruce,2: Boreal forest,2: Boreal forest
111,SAF 254: Black Spruce-Paper Birch,2: Boreal forest,2: Boreal forest
112,SAF 205: Mountain Hemlock,4: Western forest WF,3: Western forest Rx
113,SAF 206: Engelmann Spruce-Subalpine Fir,4: Western forest WF,3: Western forest Rx
114,SAF 207: Red Fir,4: Western forest WF,3: Western forest Rx
115,SAF 208: Whitebark Pine,4: Western forest WF,3: Western forest Rx
116,SAF 209: Bristlecone Pine,4: Western forest WF,3: Western forest Rx
117,SAF 256: California Mixed Subalpine,4: Western forest WF,3: Western forest Rx
118,SAF 210: Interior Douglas-Fir,4: Western forest WF,3: Western forest Rx
