MapID,Cover type,Region,Vegetation Type,,Brian - note that we need to stick to cover type because people create custom fuelbeds (we can't just support reference fuelbeds),
1,SRM 101: Bluebunch Wheatgrass,W,Grassland,,,"""1"":""W grassland"","
2,SRM 102: Idaho Fescue,W,Grassland,,,"""2"":""W grassland"","
3,SRM 103: Green Fescue,W,Grassland,,,"""3"":""W grassland"","
4,SRM 104: Antelope Bitterbrush-Bluebunch Wheatgrass,W,Grassland,,,"""4"":""W grassland"","
5,SRM 105: Antelope Bitterbrush-Idaho Fescue,W,Grassland,,,"""5"":""W grassland"","
6,SRM 106: Bluegrass Scabland,W,Grassland,,,"""6"":""W grassland"","
8,SRM 108: Alpine Idaho Fescue,W,Grassland,,,"""8"":""W grassland"","
10,SRM 110: Ponderosa Pine - Grassland,W,Grassland,,,"""10"":""W grassland"","
11,SRM 201: Blue Oak Woodland,W,Grassland,,,"""11"":""W grassland"","
12,SRM 202: Coast Live Oak Woodland,W,Grassland,,,"""12"":""W grassland"","
168,SRM 213: Alpine Grassland (Pacific Southwest),W,Grassland,,,"""168"":""W grassland"","
169,SRM 214: Coastal Prairie,W,Grassland,,,"""169"":""W grassland"","
170,SRM 215: Valley Grassland (Pacific Southwest),W,Grassland,,,"""170"":""W grassland"","
171,SRM 216: Montane Meadows,W,Grassland,,,"""171"":""W grassland"","
172,SRM 217: Wetlands (Pacific Southwest),W,Grassland,,,"""172"":""W grassland"","
173,SRM 301: Bluebunch Wheatgrass-Blue Grama,W,Grassland,,,"""173"":""W grassland"","
174,SRM 302: Bluebunch Wheatgrass-Sandberg Bluegrass,W,Grassland,,,"""174"":""W grassland"","
175,SRM 303: Bluebunch Wheatgrass-Western Wheatgrass,W,Grassland,,,"""175"":""W grassland"","
176,SRM 304: Idaho Fescue-Bluebunch Wheatgrass,W,Grassland,,,"""176"":""W grassland"","
177,SRM 305: Idaho Fescue-Richardson Wheatgrass,W,Grassland,,,"""177"":""W grassland"","
178,SRM 306: Idaho Fescue-Slender Wheatgrass,W,Grassland,,,"""178"":""W grassland"","
179,SRM 307: Idaho Fescue-Threadleaf Sedge,W,Grassland,,,"""179"":""W grassland"","
180,SRM 308: Idaho Fescue-Tufted Hairgrass,W,Grassland,,,"""180"":""W grassland"","
181,SRM 309: Idaho Fescue-Western Wheatgrass,W,Grassland,,,"""181"":""W grassland"","
182,SRM 310: Needle-and-Thread - Blue Grama,W,Grassland,,,"""182"":""W grassland"","
183,SRM 311: Rough Fescue-Bluebunch Wheatgrass,W,Grassland,,,"""183"":""W grassland"","
184,SRM 312: Rough Fescue-Idaho Fescue,W,Grassland,,,"""184"":""W grassland"","
185,SRM 313: Tufted Hairgrass-Sedge,W,Grassland,,,"""185"":""W grassland"","
194,SRM 322: Curlleaf Mountain-Mahogany-Bluebunch Wheatgrass,W,Grassland,,,"""194"":""W grassland"","
195,SRM 323: Shrubby Cinquefoil-Rough Fescue,W,Grassland,,,"""195"":""W grassland"","
196,SRM 324: Threetip Sagebrush-Idaho Fescue,W,Grassland,,,"""196"":""W grassland"","
205,SRM 409: Tall Forb (Great Basin),W,Grassland,,,"""205"":""W grassland"","
206,SRM 410: Alpine Rangeland (Great Basin),W,Grassland,,,"""206"":""W grassland"","
220,SRM 502: Grama-Galetta,W,Grassland,,,"""220"":""W grassland"","
228,SRM 601: Bluestem Prairie,W,Grassland,,,"""228"":""W grassland"","
229,SRM 602: Bluestem-Prairie Sandreed,W,Grassland,,,"""229"":""W grassland"","
230,SRM 603: Prairie Sandreed-Needlegrass,W,Grassland,,,"""230"":""W grassland"","
231,SRM 604: Bluestem-Grama Prairie,W,Grassland,,,"""231"":""W grassland"","
232,SRM 605: Sandsage Prairie,W,Grassland,,,"""232"":""W grassland"","
233,SRM 606: Wheatgrass-Bluestem-Needlegrass,W,Grassland,,,"""233"":""W grassland"","
235,SRM 608: Wheatgrass-Grama-Needlegrass,W,Grassland,,,"""235"":""W grassland"","
236,SRM 609: Wheatgrass-Grama,W,Grassland,,,"""236"":""W grassland"","
237,SRM 610: Wheatgrass,W,Grassland,,,"""237"":""W grassland"","
238,SRM 611: Blue Grama-Buffalograss,W,Grassland,,,"""238"":""W grassland"","
239,SRM 612: Sagebrush-Grass,W,Grassland,,,"""239"":""W grassland"","
240,SRM 613: Fescue Grassland,W,Grassland,,,"""240"":""W grassland"","
241,SRM 614: Crested Wheatgrass,W,Grassland,,,"""241"":""W grassland"","
242,SRM 615: Wheatgrass-Saltgrass-Grama,W,Grassland,,,"""242"":""W grassland"","
243,SRM 701: Alkali Sacaton-Tobosagrass,W,Grassland,,,"""243"":""W grassland"","
244,SRM 702: Black Grama-Alkali Sacaton,W,Grassland,,,"""244"":""W grassland"","
245,SRM 703: Black Grama-Sideoats Grama,W,Grassland,,,"""245"":""W grassland"","
246,SRM 704: Blue Grama-Western Wheatgrass,W,Grassland,,,"""246"":""W grassland"","
247,SRM 705: Blue Grama-Galetta,W,Grassland,,,"""247"":""W grassland"","
248,SRM 706: Blue Grama-Sideoats Grama,W,Grassland,,,"""248"":""W grassland"","
249,SRM 707: Blue Grama-Sideoats Grama-Black Grama,W,Grassland,,,"""249"":""W grassland"","
250,SRM 708: Bluestem-Dropseed,W,Grassland,,,"""250"":""W grassland"","
251,SRM 709: Bluestem-Grama,W,Grassland,,,"""251"":""W grassland"","
252,SRM 710: Bluestem Prairie,W,Grassland,,,"""252"":""W grassland"","
253,SRM 711: Bluestem-Sacahuista Prairie,W,Grassland,,,"""253"":""W grassland"","
254,SRM 712: Galetta-Alkali Sacaton,W,Grassland,,,"""254"":""W grassland"","
255,SRM 713: Grama-Muhly-Threeawn,W,Grassland,,,"""255"":""W grassland"","
256,SRM 714: Grama-Bluestem,W,Grassland,,,"""256"":""W grassland"","
257,SRM 715: Grama-Buffalograss,W,Grassland,,,"""257"":""W grassland"","
258,SRM 716: Grama-Feathergrass,W,Grassland,,,"""258"":""W grassland"","
259,SRM 717: Little Bluestem-Indiangrass-Texas Wintergrass,W,Grassland,,,"""259"":""W grassland"","
260,SRM 718: Mesquite-Grama,W,Grassland,,,"""260"":""W grassland"","
261,SRM 719: Mesquite-Liveoak-Seacoast Bluestem,W,Grassland,,,"""261"":""W grassland"","
262,SRM 720: Sand Bluestem-Little Bluestem Dunes,W,Grassland,,,"""262"":""W grassland"","
263,SRM 721: Sand Bluestem-Little Bluestem Prairie,W,Grassland,,,"""263"":""W grassland"","
264,SRM 722: Sand Sagebrush-Mixed Prairie,W,Grassland,,,"""264"":""W grassland"","
265,SRM 723: Sea Oats,W,Grassland,,,"""265"":""W grassland"","
266,SRM 724: Sideoats Grama-New Mexico Feathergrass-Winterfat,W,Grassland,,,"""266"":""W grassland"","
267,SRM 725: Vine Mesquite-Alkali Sacaton,W,Grassland,,,"""267"":""W grassland"","
268,SRM 726: Cordgrass,W,Grassland,,,"""268"":""W grassland"","
269,SRM 727: Mesquite-Buffalograss,W,Grassland,,,"""269"":""W grassland"","
270,SRM 728: Mesquite-Granjeno-Acacia,W,Grassland,,,"""270"":""W grassland"","
278,SRM 801: Savanna,W,Grassland,,,"""278"":""W grassland"","
281,SRM 804: Tall Fescue,W,Grassland,,,"""281"":""W grassland"","
301,SRM 902: Alpine Herb (Alaska),W,Grassland,,,"""301"":""W grassland"","
302,SRM 903: Beach Wildrye-Mixed Forb,W,Grassland,,,"""302"":""W grassland"","
304,SRM 905: Bluejoint Reedgrass,W,Grassland,,,"""304"":""W grassland"","
307,SRM 908: Fescue,W,Grassland,,,"""307"":""W grassland"","
308,SRM 909: Freshwater Marsh,W,Grassland,,,"""308"":""W grassland"","
309,SRM 910: Hairgrass,W,Grassland,,,"""309"":""W grassland"","
404,FERA 404: Grassland,W,Grassland,,,"""404"":""W grassland"","
234,SRM 607: Wheatgrass-Needlegrass,W,Shrubland,,,"""234"":""W shrubland"","
276,SRM 734: Mesquite-Oak,W,Shrubland,,,"""276"":""W shrubland"","
320,SRM 921: Willow,W,Shrubland,,,"""320"":""W shrubland"","
