CROP,SCC,Crop Type Num,Crop Type,FuelLoading,CC,CO2,CH4,CO,NOX,SO2,PM2_5,PM10,VOC,NH3,formaldehyde,acetaldehyde,nhexane,benzene,propionaldehyde,butadiene13,toluene,styrene,ethylbenzene,trimethylpentane224,isopropylbenzene,xylenes,EC,OC
none,none,none,none,ton/acre,none,lbs/ton,lbs/ton,lbs/ton,lbs/ton,lbs/ton,lbs/ton,lbs/ton,lbs/ton,lbs/ton,lbs/ton,lbs/ton,lbs/ton,lbs/ton,lbs/ton,lbs/ton,lbs/ton,lbs/ton,lbs/ton,lbs/ton,lbs/ton,lbs/ton,lbs/ton,lbs/ton
AVG,2801500150,1,corn,4.2,0.75,3031.37,4.253396665,106.1001507,4.601521501,2.380990744,9.940884755,21.360925,18.47246,19.32,1.025634,1.521677,0.172563,0.227658,0.218663,0.161739,0.170455,0.025581,0.026645,0.006738,0.002136,0.066206,1.083556438,3.859051462
AVG,2801500262,2,wheat,1.9,0.85,3341.458258,4.075935999,110.2846823,4.749334055,0.880120992,8.068089333,14.09666667,18.68672,33.73,1.355905,1.10033,0.313249,0.220424,0.179053,0.127599,0.094804,0.018471,0.01489,0.002262,0.000942,0.040523,0.879421737,3.132032279
AVG,2801500141,3,soybean,2.5,0.75,3031.37,6.304830611,127.7043834,6.325035567,3.131320992,12.37676951,17.73,18.47246,44.94,1.025634,1.521677,0.172563,0.227658,0.218663,0.161739,0.170455,0.025581,0.026645,0.006738,0.002136,0.066206,1.349067877,4.804661924
AVG,2801500160,4,cotton,2.18,0.65,3031.37,7.206225045,146.124354,6.889022868,3.131320992,12.37676951,17.73,18.47246,48.92,1.025634,1.521677,0.172563,0.227658,0.218663,0.161739,0.170455,0.025581,0.026645,0.006738,0.002136,0.066206,1.349067877,4.804661924
AVG,2801500171,6,fallow,2.18,0.75,3031.37,5.632874736,127.7919467,5.596176066,2.344437922,12.31421121,16.99917976,18.47246,16.24,1.025634,1.521677,0.172563,0.227658,0.218663,0.161739,0.170455,0.025581,0.026645,0.006738,0.002136,0.066206,1.342249022,4.780376792
AVG,2801500220,7,rice,3,0.75,3031.37,3.781497278,105.2686528,6.232028454,2.765990744,4.72,6.61,18.25821,26.17,0.695364,1.943024,0.031876,0.234892,0.258272,0.195879,0.246106,0.032692,0.038401,0.011214,0.00333,0.09189,0.51448,1.832304
AVG,2801500250,8,sugarcane,4.75,0.65,3031.37,4.58,116.9534832,6.061767151,3.321320992,2.38,9.83,14.70000,43.03,0.800000,0.238933,0.100000,0.580000,0.044267,0.000000,0.600000,0.001867,0.920000,0.160000,0.000000,0.00656,0.947701918,3.375209949
AVG,2801500142,9,lentils,2.94,0.75,3031.37,5.632874736,127.7919467,5.596176066,2.344437922,12.31421121,16.99917976,18.47246,39.76,1.025634,1.521677,0.172563,0.227658,0.218663,0.161739,0.170455,0.025581,0.026645,0.006738,0.002136,0.066206,1.342249022,4.780376792
AVG,2801500000,12,Other crops,1.9,0.85,3102.437387,11.43408752,182.1079203,4.314522868,0.8,23.22862976,31.63666667,18.47246,12.52,1.025634,1.521677,0.172563,0.227658,0.218663,0.161739,0.170455,0.025581,0.026645,0.006738,0.002136,0.066206,2.531920644,9.017354073
AVG,2801500151,13,Dbl. Crop WinWht/Corn,3.05,0.8,3186.414129,4.164666332,108.1924165,4.675427778,1.630555868,9.004487044,17.72879583,18.57959,26.53,1.19077,1.311003,0.242906,0.224041,0.198858,0.144669,0.13263,0.022026,0.020768,0.0045,0.001539,0.053364,0.981489088,3.49554187
AVG,2801500263,14,Dbl. Crop WinWht/Cotton ,2.04,0.75,3186.414129,5.641080522,128.2045182,5.819178461,2.005720992,10.22242942,15.91333333,18.57959,41.33,1.19077,1.311003,0.242906,0.224041,0.198858,0.144669,0.13263,0.022026,0.020768,0.0045,0.001539,0.053364,1.114244807,3.968347101
AVG,2801500161,15,Dbl. Crop Soybeans/Cotton ,2.34,0.7,3031.37,6.755527828,136.9143687,6.607029217,3.131320992,12.37676951,17.73,18.47246,46.94,1.025634,1.521677,0.172563,0.227658,0.218663,0.161739,0.170455,0.025581,0.026645,0.006738,0.002136,0.066206,1.349067877,4.804661924
AVG,2801500152,16,Dbl. Crop Corn/Soybeans ,3.35,0.75,3031.37,5.279113638,116.9022671,5.463278534,2.756155868,11.15882713,19.5454625,18.47246,22.94,1.025634,1.521677,0.172563,0.227658,0.218663,0.161739,0.170455,0.025581,0.026645,0.006738,0.002136,0.066206,1.216312157,4.331856692
AVG,2801500264,17,Dbl. Crop WinWht/Soy,2.2,0.8,3186.414129,5.190383305,118.9945329,5.537184811,2.005720992,10.22242942,15.91333333,18.57959,39.33,1.19077,1.311003,0.242906,0.224041,0.198858,0.144669,0.13263,0.022026,0.020768,0.0045,0.001539,0.053364,1.114244807,3.968347101
AVG,2811020002,25,Pasture_Grass,1.9,0.85,3224.4,5.0,128.48,7.06,2.52,25.36,26.38,43.25,1.82
AVG,2810001001,26,wf_Grass,1.9,0.85,3224.4,5.0,128.48,7.06,2.52,25.36,26.38,43.25,1.82
