FCCS fuelbedID,FCCS fuelbed_name,site_description,SAF/SRM MapID,SAF/SRM MapID,SAF/SRM MapID,SAF/SRM MapID,SAF/SRM MapID,SAF/SRM Description,Urbanski Flame/Smold WF,Urbanski Residual,Urbanski Duff,Urbanski Flame/Smold Rx (CHECK),FINN Cover Type (CHECK)
57,Wheatgrass - Cheatgrass grassland,"Native bunchgrass communities once dominated the Great Basin. Overgrazing, agriculture and other disturbances have significantly altered these grasslands, which are now dominated by non-native grass species. Data from John Day Fossil Beds National Monument.",1,2,,,,SRM 101: Bluebunch Wheatgrass,Grass,CWD residual,Temperate residual,Grass,Savanna/Grassland
66,Bluebunch wheatgrass - Bluegrass grassland,Prairie grasslands occur throughout the Midwest.  This prairie is a mixed-grass prairie that is transitional between short and tall grass prairies in South Dakota.  Fire has occurred at intervals of less than 35 years.,1,173,182,223,,SRM 101: Bluebunch Wheatgrass,Grass,CWD residual,Temperate residual,Grass,Savanna/Grassland
213,Wheatgrass - Cheatgrass grassland,"Native bunchgrass communities once dominated the Great Basin. Overgrazing, agriculture and other disturbances have significantly altered these grasslands, which are now dominated by non-native grass species. This grassland was burned two years previously, although native grassland restoration was not the objective, and is not anticipated from this prescription. This fuelbed was developed based on data from the John Day Fossilbeds National Monument.",1,2,174,,,SRM 101: Bluebunch Wheatgrass,Grass,CWD residual,Temperate residual,Grass,Savanna/Grassland
221,Wheatgrass - Ryegrass grassland,Agricultural field of exotic annual grasses and forbs was burned and replanted ten years ago. This fuelbed was developed based on data from Whitman Mission National Historic Site.,1,,,,,SRM 101: Bluebunch Wheatgrass,Grass,CWD residual,Temperate residual,Grass,Savanna/Grassland
235,Idaho fescue - Bluebunch wheatgrass grassland,"Perennial bunchgrass communities used to be more frequent in the Pacific Northwest than they are now. They are being lost due to development, grazing and the absence of fire.  This particular grassland type occurs in the Wallowa Mountains and Blue Mountains, and was severely burned five years ago.",1,2,140,176,240,SRM 101: Bluebunch Wheatgrass,Grass,CWD residual,Temperate residual,Grass,Savanna/Grassland
41,Fescue - Wheatgrass grassland,"Perennial bunchgrass communities used to be more frequent in the Pacific Northwest than they are now. They are being lost due to development, grazing and the absence of fire.  This particular grassland occurs in the Wallowa Mountains and Blue Mountains.",2,140,176,240,,SRM 102: Idaho Fescue,Grass,CWD residual,Temperate residual,Grass,Savanna/Grassland
55,Western juniper / Sagebrush savanna,Juniper savannas are transitional communities between ponderosa pine forests and sagebrush steppe in eastern Oregon and throughout the Great Basin.  Fire exclusion has resulted in juniper encroachment into bordering sagebrush steppe. This fuelbed was developed based on data from John Day Fossilbeds National Monument.,7,,,,,SRM 107: Western Juniper-Big Sagebrush-Bluebunch Wheatgrass,Grass,CWD residual,Temperate residual,Grass,Shrublands
58,Western juniper / Sagebrush savanna,Juniper savannas are transitional communities between ponderosa pine forests and sagebrush steppe in eastern Oregon and throughout the Great Basin.  Fire exclusion has resulted in juniper encroachment into bordering sagebrush steppe.  This stand was prescribe burned two years previously to reduce juniper density. This fuelbed was developed based on data from John Day Fossil Beds National Monument.,7,145,,,,SRM 107: Western Juniper-Big Sagebrush-Bluebunch Wheatgrass,Grass,CWD residual,Temperate residual,Grass,Shrublands
69,Western Juniper / Sagebrush - Bitterbrush shrubland,"Sagebrush shrublands are widespread throughout the Great Basin, with juniper woodlands above them and grasslands occurring at lower elevations.   Fire exclusion has resulted in juniper encroachment into the sagebrush community.  This eastern Oregon site has a mix of sagebrush and bitterbrush with scattered junipers.",7,145,165,186,197,SRM 107: Western Juniper-Big Sagebrush-Bluebunch Wheatgrass,Shrub,CWD residual,Temperate residual,Shrub,Shrublands
233,Sagebrush shrubland,Southwestern sagebrush steppe with increased density of sagebrush due to fire suppression creating hazardous fuel conditions. This fuelbed was developed based on data from Zion NP.,7,186,187,198,,SRM 107: Western Juniper-Big Sagebrush-Bluebunch Wheatgrass,Shrub,CWD residual,Temperate residual,Shrub,Shrublands
