Region,VegType,Phase,Pollutant,EF,SD,n,citeShort,notes
N,forest,F,CH4,2.399788664,0.646049266,6,"Goode et al., 2000, Urbanski et al., 2009",NA
N,forest,F,CO,77.82547028,16.91864925,6,"Goode et al., 2000, Urbanski et al., 2009",NA
N,forest,F,CO2,1682.310305,23.36196791,6,"Goode et al., 2000, Urbanski et al., 2009",NA
N,forest,F,NH3,0.926666667,0.490951457,3,"Goode et al., 2000",NA
N,forest,FireAvg,CH4,3.033192443,1.325165297,9,"Goode et al., 2000, Hegg et al., 1989, Nance et al. 1993, Simpson et al., 2011, Urbanski et al., 2009",NA
N,forest,FireAvg,CO,92.88364685,35.49767551,9,"Goode et al., 2000, Hegg et al., 1989, Nance et al. 1993, Simpson et al., 2011, Urbanski et al., 2009",NA
N,forest,FireAvg,CO2,1650.873537,61.64999485,9,"Goode et al., 2000, Hegg et al., 1989, Nance et al. 1993, Simpson et al., 2011, Urbanski et al., 2009",NA
N,forest,FireAvg,NH3,0.855,0.425715085,4,"Goode et al., 2000, Nance et al. 1993",NA
N,forest,FireAvg,NOx,1.275,0.225,2,"Hegg et al., 1989, Nance et al., 1993",
N,forest,FireAvg,PM25,10.5342128,0.806016527,3,"Urbanski et al., 2009",NA
N,forest,FireAvg,SO2,0.133333333,0.057735027,3,"McMeeking et al., 2009",NA
N,forest,S,CH4,4.7,,1,"Simpson et al., 2011",NA
N,forest,S,CO,113,,1,"Simpson et al., 2011",NA
N,forest,S,CO2,1616,,1,"Simpson et al., 2011",NA
N,grassland,FireAvg,CH4,1.7,1.39,7,"Urbanski et al., 2009",NA
N,grassland,FireAvg,CO,59.2,12.81,4,"Urbanski et al., 2009",NA
N,grassland,FireAvg,CO2,1705.75,40.63,4,"Urbanski et al., 2009",NA
N,grassland,FireAvg,NH3,0.77,,1,"Goode et al., 2000",NA
N,grassland,FireAvg,NOx,1.01,0.26,3,"Gkatzelis et al., 2023",Used Western data
N,grassland,FireAvg,PM25,9.88,6.92,4,"Urbanski et al., 2009",NA
SE,conifer forest,F,CH4,2.465183728,1.21600502,35,"Akagi et al., 2013, Burling et al., 2011, Strand et al., 2013, Urbanski et al., 2009, Yokelson et al., 1999",conifer forest and mixed forest are combined
SE,conifer forest,F,CO,75.95639643,20.5118783,36,"Akagi et al., 2013, Aurell et al., 2015, Burling et al., 2011, Strand et al., 2013, Urbanski et al., 2009, Yokelson et al., 1999",conifer forest and mixed forest are combined
SE,conifer forest,F,CO2,1676.401934,35.36081213,36,"Akagi et al., 2013, Aurell et al., 2015, Burling et al., 2011, Strand et al., 2013, Urbanski et al., 2009, Yokelson et al., 1999",conifer forest and mixed forest are combined
SE,conifer forest,F,NH3,0.284625,0.303105455,16,"Akagi et al., 2013, Burling et al., 2011, Strand et al., 2013, Yokelson et al., 1999",conifer forest and mixed forest are combined
SE,conifer forest,F,NOx,2.27,1.21,13,"Akagi et al., 2013, Burling et al., 2011, Strand et al., 2013",conifer forest and mixed forest are combined
SE,conifer forest,F,SO2,0.968573567,0.294707879,10,"Burling et al., 2010, McMeeking et al., 2009, Selimovic et al., 2018",conifer forest and mixed forest are combined
SE,conifer forest,FireAvg,CH4,3.663693426,4.444421692,41,"Akagi et al., 2013, Burling et al., 2011, Strand et al., 2013, Urbanski et al., 2009, Yokelson et al., 1999",conifer forest and mixed forest are combined
SE,conifer forest,FireAvg,CO,87.51296799,38.31749537,54,"Akagi et al., 2013, Aurell et al., 2015, Burling et al., 2011, Mickler et al. 2007, Strand et al., 2013, Urbanski et al., 2009, White, 1987, Yokelson et al., 1999",conifer forest and mixed forest are combined
SE,conifer forest,FireAvg,CO2,1620.858035,156.0922158,46,"Akagi et al., 2013, Aurell et al., 2015, Burling et al., 2011, Mickler et al. 2007, Strand et al., 2013, Urbanski et al., 2009, Yokelson et al., 1999",conifer forest and mixed forest are combined
SE,conifer forest,FireAvg,NH3,0.707909091,1.34838704,22,"Akagi et al., 2013, Burling et al., 2011, Strand et al., 2013, Yokelson et al., 1999",conifer forest and mixed forest are combined
SE,conifer forest,FireAvg,NOx,2.04,1.16,17,"Akagi et al., 2013, Burling et al., 2011, Mickler et al. 2007, Strand et al., 2013",conifer forest and mixed forest are combined
SE,conifer forest,FireAvg,PM25,13.1,7.01,22,"Aurell et al., 2013, Aurell et al., 2015, May et al., 2014, Travis et al. 2023, Urbanski et al., 2009",NA
SE,conifer forest,FireAvg,SO2,0.908052548,0.366878636,14,"Burling et al., 2010, McMeeking et al., 2009, Mickler et al. 2007, Selimovic et al., 2018",conifer forest and mixed forest are combined
SE,conifer forest,S,CH4,10.655,8.902758561,6,"Akagi et al., 2013, Burling et al., 2011, Strand et al., 2013",conifer forest and mixed forest are combined
SE,conifer forest,S,CO,159.375,34.46711683,8,"Akagi et al., 2013, Aurell et al., 2015, Burling et al., 2011, Strand et al., 2013",conifer forest and mixed forest are combined
SE,conifer forest,S,CO2,1441.125,177.7610254,8,"Akagi et al., 2013, Aurell et al., 2015, Burling et al., 2011, Strand et al., 2013",conifer forest and mixed forest are combined
SE,conifer forest,S,NH3,1.836666667,2.293108516,6,"Akagi et al., 2013, Burling et al., 2011, Strand et al., 2013",conifer forest and mixed forest are combined
SE,conifer forest,S,NOx,1.1,0.14,2,"Strand et al., 2013",conifer forest and mixed forest are combined
SE,conifer forest,S,SO2,1.0235,0.7403408,2,"Burling et al., 2010, McMeeking et al., 2009",conifer forest and mixed forest are combined
SE,grassland,FireAvg,CH4,2.38,1.39,7,"Aurell et al., 2015, Urbanski 2009, strand et al., 2016, Travis et al., 2023",NA
SE,grassland,FireAvg,CO,69.55,26.54,8,"Aurell et al., 2015, Urbanski 2009, strand et al., 2016, Travis et al., 2023",NA
