Units = g/kg,,,,,,,,,,,
Pollutant,Formula,SE Forest,Boreal Forest,Western Forest (WF),SW Forest (Rx),NW Forest (Rx),Shrub,Grass,CWD Residual,Temperate Residual,Boreal Residual
Carbon Dioxide,CO2,1703,1641,1600,1653,1598,1674,1705,1408,1305,1436
Carbon Monoxide,CO,76,95,135,87,105,74,61,229,271,244
Methane,CH4,2.32,3.38,7.32,3.15,4.86,3.69,1.95,13.94,7.47,8.42
Nitrogen Oxides,NOx as NO,1.70,1.00,2.00,1.88,2.06,2.18,2.18,0.00,0.67,0.67
Ammonia,NH3,0.14,0.79,1.50,0.50,1.53,1.50,1.50,0.48,2.67,2.67
Sulfur Dioxide,SO2,1.06,1.06,1.06,1.06,1.06,0.68,0.68,0.00,1.76,1.76
PM2.5 ,PM2.5 ,12.58,21.5,23.2,14.40,17.57,7.06,8.51,33.00,50.00,20.60
PM10,PM10,14.8,25.4,27.4,17.0,20.7,8.3,10.0,38.9,59.0,24.3
Total non-methane volatile organic compounds,NMOC,16.040,23.150,33.870,18.670,26.980,17.500,17.500,45.243,68.865,54.526
Hydrogen Cyanide ,HCN,0.613,0.890,0.540,,,0.749,0.749,0.723,1.519,2.457
Formaldehyde ,HCHO,1.681,1.975,2.248,,,1.330,1.330,2.124,3.343,1.61
Methanol ,CH3OH,0.986,1.305,2.061,,,1.350,1.350,3.517,6.307,3.048
Isocyanic Acid ,HNCO,0.090,0.126,0.198,,,0.082,0.082,0.293,0.271,0.271
FormicAcid ,HCOOH,0.116,0.470,0.505,,,0.078,0.078,0,1.456,0.733
Ethyne ,C2H2,0.362,0.237,0.376,,,0.213,0.213,0.207,0.205,0.109
Ethene ,C2H4,1.090,1.310,1.825,,,1.010,1.010,1.398,1.683,1.246
Ethane ,C2H6,0.288,0.610,1.077,,,0.480,0.480,2.723,2.08,2.16
Acetonitrile ,CH3CN,0.032,0.300,0.289,,,0.146,0.146,0.406,0.739,0.739
Acetaldehyde ,CH3CHO,0.641,0.953,1.500,,,0.563,0.563,1.546,2.7,2.7
Ethanol ,CH3CH2OH,0.012,0.027,0.320,,,0.055,0.055,0.019,0.495,0.495
Acetic Acid ,CH3COOH,1.489,2.420,4.461,,,1.910,1.910,1.837,8.836,5.963
Glycolaldehyde ,C2H4O2,0.305,0.506,0.916,,,0.199,0.199,0,5.024,2.416
Methyl Formate ,C2H4O2,0.014,0.019,0.030,,,0.073,0.073,0.044,0.049,0.049
"1,1-Dimethylhydrazine ",C2H8N2,0.020,0.027,0.043,,,0.046,0.046,0.063,0,0
Glycolic Acid ,C2H4O3,0.028,0.039,0.061,,,0.005,0.005,0.091,0.09,0.09
Propyne ,C3H4,0.056,0.029,0.044,,,0.028,0.028,0.019,0.042,0.042
Propylene ,C3H6,0.426,0.445,0.698,,,0.532,0.532,1.06,1.814,1.767
Propane ,C3H8,0.094,0.230,0.509,,,0.889,0.889,0.802,0.797,0.797
Acrylonitrile ,C3H3N,0.054,0.029,0.045,,,0.026,0.026,0.027,0.151,0.151
Propanenitrile ,C3H5N,0.007,0.010,0.016,,,0.012,0.012,0.023,0.024,0.024
Acrolein ,C3H4O,0.323,0.291,0.458,,,0.386,0.386,0.472,0.59,0.59
Acetone ,C3H6O,0.651,0.370,0.770,,,0.310,0.310,1.548,1.39,1.39
Propanal ,C3H6O,0.088,0.123,0.193,,,0.097,0.097,0.286,0.353,0.353
Acrylic Acid ,C3H4O2,0.029,0.040,0.062,,,0.010,0.010,0.093,0.153,0.153
Ethyl Formate ,C3H6O2,0.005,0.007,0.011,,,0.013,0.013,0.017,0.024,0.024
Methyl Acetate ,C3H6O2,0.007,0.148,0.234,,,0.259,0.259,0.069,0.277,0.277
Pyruvic Acid ,C3H4O3,0.014,0.019,0.030,,,0.009,0.009,0.045,0.269,0.269
